cnpj,saude_tributaria
18545469000171,CINZA
18604440000709,CINZA
18632108000162,CINZA
18657047000198,CINZA
18685497000194,CINZA
18791479000197,CINZA
18813859000185,CINZA
18842483000137,CINZA
18889644000148,CINZA
18891369000105,CINZA
18909716000171,CINZA
18916771000199,CINZA
18999919000104,CINZA
19012631000159,CINZA
19056227000187,CINZA
19350299000132,CINZA
19414919000150,CINZA
19422594000157,CINZA
19538782000145,CINZA
19548250000199,CINZA
19622131000139,CINZA
19638928000124,CINZA
19642052000190,CINZA
19672299000159,CINZA
19855379000140,CINZA
19905913000185,CINZA
19983633000195,CINZA
20004906000191,CINZA
20124606000146,CINZA
20174039000132,CINZA
20194127000104,CINZA
20271573000167,CINZA
20391353000177,CINZA
20408193000121,CINZA
20619546000132,CINZA
20628027000130,CINZA
20634869000103,CINZA
20645577000168,CINZA
20648896000127,CINZA
20688973000172,CINZA
20832845000150,CINZA
20878601000109,CINZA
20894845000185,CINZA
20954276000116,CINZA
21004634000192,CINZA
21018518000122,CINZA
21028562000113,CINZA
21083705000190,CINZA
21218027000125,CINZA
21268047000100,CINZA
21336754000197,CINZA
21371634000120,CINZA
21382459000177,CINZA
21402527000112,CINZA
21451021000101,CINZA
21509465000142,CINZA
21535833000127,CINZA
21593004000109,CINZA
21630855000176,CINZA
21749357000147,CINZA
21769695000140,CINZA
21858783000119,CINZA
21905694000186,CINZA
21964144000138,CINZA
21982991000125,CINZA
22018689000114,CINZA
22041299000165,CINZA
22069384000131,CINZA
22171667000190,CINZA
22180216000119,CINZA
22233082000157,CINZA
22319819000159,CINZA
22373496000181,CINZA
22453037000108,CINZA
22473543000169,CINZA
22498070000235,CINZA
22514712000161,CINZA
22688851000101,CINZA
22692900000180,CINZA
22698726000182,CINZA
22717248000100,CINZA
22742443000190,CINZA
22783785000159,CINZA
22839207000197,CINZA
22865688000105,CINZA
22901743000175,CINZA
22949357000153,CINZA
22965900000106,CINZA
22986268000187,CINZA
23034948000163,CINZA
23084998000155,CINZA
23094086000164,CINZA
23212925000100,CINZA
23216368000197,CINZA
23240298000102,CINZA
23241346000187,CINZA
23262711000130,CINZA
23370859000198,CINZA
23540290000161,CINZA
23540704000152,CINZA
23542387000103,CINZA
23583609000136,CINZA
23606832000151,CINZA
23628265000134,CINZA
23639330000127,CINZA
23641279000198,CINZA
23688924000128,CINZA
23951055000182,CINZA
23967123000100,CINZA
23971490000179,CINZA
24007191000181,CINZA
24008186000193,CINZA
24156736000111,CINZA
24166721000134,CINZA
24198767000135,CINZA
24230975000174,CINZA
24265927000111,CINZA
24269054000115,CINZA
24304443000134,CINZA
24351719000135,CINZA
24407528000148,CINZA
24430497000146,CINZA
