cnpj,nivel_atividade
30779436000191,ALTO
31021560000156,ALTO
31153666000103,ALTO
31283439000100,ALTO
31371267000119,ALTO
31504056000107,ALTO
31649927000180,ALTO
31690051000116,ALTO
32041036000100,ALTO
32061205000173,ALTO
32468352000162,ALTO
32506837000101,ALTO
32592924000110,ALTO
32642271000137,ALTO
32864795002540,ALTO
32884253000161,ALTO
33165331000130,ALTO
33230929000166,ALTO
33546056000103,ALTO
33597227000115,ALTO
33890055000173,ALTO
33947280000107,ALTO
33992114000114,ALTO
33992122000160,ALTO
34240500000112,ALTO
34566966000102,ALTO
34583109000110,ALTO
34608467000130,ALTO
34726012000110,ALTO
34865561000175,ALTO
35110731000174,ALTO
35133237000206,ALTO
35399308000136,ALTO
35581044000137,ALTO
35901584000150,ALTO
35920679000111,ALTO
35932097000155,ALTO
35960308000163,ALTO
36000985000100,ALTO
36098602000170,ALTO
36114751000186,ALTO
36241454000100,ALTO
36253294000100,ALTO
36720839000141,ALTO
36751040000112,ALTO
36843186000198,ALTO
36974778000149,ALTO
37283440000103,ALTO
37343058000148,ALTO
37355114000164,ALTO
37472550000113,ALTO
37542512000270,ALTO
37724552000152,ALTO
37835533000101,ALTO
37852224000131,ALTO
37864155000186,ALTO
37909291000145,ALTO
37970922000131,ALTO
37993846000180,ALTO
38220740000106,ALTO
38496607000187,ALTO
38614779000108,ALTO
38615430000190,ALTO
39239589000110,ALTO
39364313000164,ALTO
39436816000106,ALTO
39501250000140,ALTO
39504822000145,ALTO
39652134000122,ALTO
39822707000119,ALTO
39882060000110,ALTO
39942187000188,ALTO
39976807000108,ALTO
40009347000110,ALTO
40020122000164,ALTO
40036730000167,ALTO
40425537000118,ALTO
40605845000125,ALTO
40621429000110,ALTO
40695616000149,ALTO
40711214000190,ALTO
40718668000193,ALTO
40955870000139,ALTO
41026693000179,ALTO
41037047000107,ALTO
41038733000100,ALTO
41227530000154,ALTO
41507284000194,ALTO
41552388000110,ALTO
41575701000136,ALTO
41612903000100,ALTO
41723828000155,ALTO
41788956000187,ALTO
41844329000116,ALTO
41868342000105,ALTO
41933071000124,ALTO
42036536000107,ALTO
42064807000138,ALTO
42137115000172,ALTO
42238316000166,ALTO
42271145000177,ALTO
42278473000103,ALTO
42336812000152,ALTO
42395703000106,ALTO
42415647000124,ALTO
42576184000182,ALTO
42709213000137,ALTO
42884899000100,ALTO
43070771000168,ALTO
43110678000130,ALTO
43240260000147,ALTO
43307233000144,ALTO
43341765000106,ALTO
43378320000192,ALTO
43433675000137,ALTO
43467224000110,ALTO
43551955000140,ALTO
43593484000132,ALTO
43599443000153,ALTO
43607725000155,ALTO
43684657000128,ALTO
43919862000125,ALTO
44007855000110,ALTO
44021395000184,ALTO
44218486000104,ALTO
44835472000130,ALTO
45049843000110,ALTO
45110686000101,ALTO
45271208000183,ALTO
45413216000117,ALTO
45415047000154,ALTO
45987245000192,ALTO
47508411000156,ALTO
47960950000121,ALTO
50564053000103,ALTO
51327708000192,ALTO
54198908000180,ALTO
55356562000164,ALTO
59285411000113,ALTO
60872504000123,ALTO
61585865000151,ALTO
64012909000142,ALTO
64922883000170,ALTO
66711698000161,ALTO
67010660000124,ALTO
68768712000199,ALTO
72244536000163,ALTO
79722765000195,ALTO
81243735000148,ALTO
83004051000119,ALTO
83475913000191,ALTO
84683374000149,ALTO
88610191000154,ALTO
91983056000169,ALTO
93507747000111,ALTO
93828986000173,ALTO
10215988000160,ALTO
10579754000100,ALTO
10901097000167,ALTO
10907504000143,ALTO
11362041000144,ALTO
11536467000177,ALTO
11742023000198,ALTO
11900118000192,ALTO
11961237000155,ALTO
12087166000176,ALTO
12197490000147,ALTO
12457542000177,ALTO
12509749000300,ALTO
12649296000155,ALTO
12774677000166,ALTO
12841163000186,ALTO
13057438000158,ALTO
13263403000175,ALTO
13574594000196,ALTO
14178511000102,ALTO
14290635000185,ALTO
14357559000188,ALTO
14617436000139,ALTO
14792435000120,ALTO
14822817000150,ALTO
14985831000174,ALTO
15139629000194,ALTO
15667816000140,ALTO
16404287000155,ALTO
17113496000102,ALTO
17167396000169,ALTO
17230724000124,ALTO
17780707000160,ALTO
17940588000166,ALTO
18032044000169,ALTO
18276798000164,ALTO
18570526000172,ALTO
18604089000160,ALTO
18821042000159,ALTO
19662278000152,ALTO
20154601000166,ALTO
21156836000150,ALTO
21255567000189,ALTO
21376481000104,ALTO
21579829000160,ALTO
